41185}41173}0}119}119}20140629 00.00.00}20140629 00.00.00}B010000000704}2}155541}120302001100}15}5780}231.2}1785}482}20140629 00.00.00}5}398.24}20140729 00.00.00}0}20140630 00.00.00}12.24}0}0}BNPA0034}RAKESH NANDA SHARMA}40}40}11.9}20140630 00.00.00}0}0.76}BACKEND}230}76}0}0}100}19}0}0}LT/DOM/OTH}306}119}20010101 00.00.00}NULL}20140908 09.10.46}ADMIN}0}0}0}0}test1 - Copy - Copy (3)_08092014091045.sbm}0}0}20010101 00.00.00}0}20010101 00.00.00}0}0
4459}4451}0}80}80}20140629 00.00.00}20140629 00.00.00}B010000000705}2}155541}120302001223}1}184}7.36}80}13009}20140629 00.00.00}5}251.36}20140729 00.00.00}0}20140630 00.00.00}7.36}0}0}BNPA0034}RAKESH NANDA SHARMA}20}40}8}20140630 00.00.00}0}0.64}BACKEND}184}0}0}0}80}0}0}0}LT/DOM/OTH}184}80}20010101 00.00.00}NULL}20140908 09.10.46}ADMIN}0}0}0}0}test1 - Copy - Copy (3)_08092014091045.sbm}0}0}20010101 00.00.00}0}20010101 00.00.00}0}0
11847}11832}0}144}144}20140629 00.00.00}20140629 00.00.00}B010000000706}2}155541}120302001282}1}0}0}0}1138}20140629 00.00.00}7}462.24}20140729 00.00.00}0}20140630 00.00.00}16.24}0}0}BNPA0034}RAKESH NANDA SHARMA}0}40}14.4}20140630 00.00.00}0}0.76}BACKEND}230}176}0}0}100}44}0}0}LT/DOM/OTH}406}144}20010101 00.00.00}NULL}20140908 09.10.46}ADMIN}0}0}0}0}test1 - Copy - Copy (3)_08092014091045.sbm}0}0}20010101 00.00.00}0}20010101 00.00.00}0}0
639}633}0}57}57}20140629 00.00.00}20140629 00.00.00}B010000000707}2}155541}120302001355}14}1990.1}79.6}798}6358}20140629 00.00.00}5}216.34}20140729 00.00.00}0}20140630 00.00.00}5.24}0}0}BNPA0034}RAKESH NANDA SHARMA}0}80}5.7}20140630 00.00.00}0}0.66}BACKEND}131.1}0}0}0}57}0}0}0}LT/DOM/OTH}131.1}57}20010101 00.00.00}NULL}20140908 09.10.46}ADMIN}0}0}0}0}test1 - Copy - Copy (3)_08092014091045.sbm}0}0}20010101 00.00.00}0}20010101 00.00.00}0}0
129230}129225}0}46}46}20140629 00.00.00}20140629 00.00.00}B010000000708}2}155541}120302001398}15}1587}63.45}690}47953}20140629 00.00.00}5}270.03}20140729 00.00.00}0}20140630 00.00.00}4.23}0}0}BNPA0034}RAKESH NANDA SHARMA}0}160}4.6}20140630 00.00.00}0}0.97}BACKEND}105.8}0}0}0}46}0}0}0}LT/DOM/OTH}105.8}46}20010101 00.00.00}NULL}20140908 09.10.46}ADMIN}0}0}0}0}test1 - Copy - Copy (3)_08092014091045.sbm}0}0}20010101 00.00.00}0}20010101 00.00.00}0}0
561}558}0}29}29}20140629 00.00.00}20140629 00.00.00}B010000000709}2}155541}120302001436}9}600.3}24.03}261}11046}20140629 00.00.00}5}169.37}20140729 00.00.00}0}20140630 00.00.00}2.67}0}0}BNPA0034}RAKESH NANDA SHARMA}20}80}2.9}20140630 00.00.00}0}0.63}BACKEND}66.7}0}0}0}29}0}0}0}LT/DOM/OTH}66.7}29}20010101 00.00.00}NULL}20140908 09.10.46}ADMIN}0}0}0}0}test1 - Copy - Copy (3)_08092014091045.sbm}0}0}20010101 00.00.00}0}20010101 00.00.00}0}0
5290}5282}0}78}78}20140629 00.00.00}20140629 00.00.00}B010000000710}2}155541}120302001568}7}1541.4}61.66}546}11305}20140629 00.00.00}5}246.58}20140729 00.00.00}0}20140630 00.00.00}7.18}0}0}BNPA0034}RAKESH NANDA SHARMA}20}40}7.8}20140630 00.00.00}0}0.42}BACKEND}179.4}0}0}0}78}0}0}0}LT/DOM/OTH}179.4}78}20010101 00.00.00}NULL}20140908 09.10.46}ADMIN}0}0}0}0}test1 - Copy - Copy (3)_08092014091045.sbm}0}0}20010101 00.00.00}0}20010101 00.00.00}0}0
82470}82441}0}288}288}20140629 00.00.00}20140629 00.00.00}B010000000711}2}155541}120302001584}91}75679.9}3027.09}26208}8332}20140629 00.00.00}5}1101.28}20140729 00.00.00}0}20140630 00.00.00}39.28}0}0}BNPA0034}RAKESH NANDA SHARMA}0}80}28.8}20140630 00.00.00}0}0.72}BACKEND}230}752}0}0}100}188}0}0}LT/DOM/OTH}982}288}20010101 00.00.00}NULL}20140908 09.10.46}ADMIN}0}0}0}0}test1 - Copy - Copy (3)_08092014091045.sbm}0}0}20010101 00.00.00}0}20010101 00.00.00}0}0
76752}76745}0}77}77}20140629 00.00.00}20140629 00.00.00}B010000000712}2}155541}120302001622}63}9709.75}388.29}4851}8202}20140629 00.00.00}5}244.18}20140729 00.00.00}0}20140630 00.00.00}7.08}0}0}BNPA0034}RAKESH NANDA SHARMA}20}40}7.7}20140630 00.00.00}0}0.82}BACKEND}177.1}0}0}0}77}0}0}0}LT/DOM/OTH}177.1}77}20010101 00.00.00}NULL}20140908 09.10.46}ADMIN}0}0}0}0}test1 - Copy - Copy (3)_08092014091045.sbm}0}0}20010101 00.00.00}0}20010101 00.00.00}0}0
57427}57405}0}216}216}20140629 00.00.00}20140629 00.00.00}B010000000713}2}155541}120302001908}92}50553.9}2021.94}19872}4757}20140629 00.00.00}5}821.76}20140729 00.00.00}0}20140630 00.00.00}27.76}0}0}BNPA0034}RAKESH NANDA SHARMA}20}80}21.6}20140630 00.00.00}0}0.24}BACKEND}230}464}0}0}100}116}0}0}LT/DOM/OTH}694}216}20010101 00.00.00}NULL}20140908 09.10.46}ADMIN}0}0}0}0}test1 - Copy - Copy (3)_08092014091045.sbm}0}0}20010101 00.00.00}0}20010101 00.00.00}0}0
